Title,Company,Location,Country,Type,Summary,Email,Website,Source,PostedDate,ScrapeDate
(Junior) Softwareentwickler (Java oder C#/.NET) (m/w/d),Explicatis GmbH,Köln,Germany,,"Explicatis ist ein inhabergeführter Spezialist für IT-Beratung und die Entwicklung individueller, anspruchsvoller Softwareprojekte. In unserem dynamischen Team arbeiten motivierte und gut ausgebildete Mitarbeiter mit Herzblut am Gelingen unserer Projekte. Die Zufriedenheit unserer Kunden, eine besondere Arbeitsatmosphäre im Team und die Leidenschaft für professionelle Softwareentwicklung und aktuelle Technologien treiben uns an.Als leidenschaftlicher (Junior) Java- oder C#/.NET-Entwickler (m/w/d) setzt Du Dich bei uns mit neuen Technologien auseinander, bringst Deine Ideen in Projekten eigenverantwortlich ein und gestaltest in einem modernen Arbeitsumfeld aktiv mit.Auch mit Berufserfahrung ist Deine Bewerbung bei uns natürlich herzlich Willkommen, da wir auch vielfältige Einsatzgebiete für Senior-Softwareentwickler (m/w/d) haben.Unsere Aufgaben - Deine Perspektive Du konzipierst und entwickelst innovative Software in den Bereichen Web und Intranet für unsere Top-KundenDu entwickelst objektorientierte Software in agilen und klassischen VorgehensmodellenDu erstellst Anforderungsanalysen und wirkst aktiv bei der fachlich-technischen Konzeption mitDu hast die Möglichkeit eigenverantwortlich abwechslungsreiche Aufgaben in allen Phasen der Systementwicklung zu übernehmenDu arbeitest eng mit Deinen Teammitgliedern zusammenUnsere Erwartung - Deine Fähigkeiten Du hast Dein Studium in Wirtschaftsinformatik, Medieninformatik, Informatik oder in einer vergleichbaren Fachrichtung erfolgreich abgeschlossen oder eine vergleichbare Ausbildung mit mehrjähriger Berufserfahrung absolviertDu verfügst über Kenntnisse in Java oder C#/.NET, idealerweise in der aktuellen VersionDu hast bereits Erfahrung oder hast Interesse am Erlernen von JPA mit Eclipselink, Hibernate, Spring, Spring MVC, Vaadin, Entity Framework oder ASP.NET MVCDu testest Deine eigenen Quelltexte und empfindest Test- und Qualitätsmanagement als wesentliche Querschnittsaktivität in der SoftwareentwicklungDu bist routiniert im Umgang mit relationalen DatenbanksystemenDie Mitarbeit an innovativen Softwareprojekten ist Deine LeidenschaftAusgeprägtes analytisches Denkvermögen und eine zielorientierte sowie strukturierte Arbeitsweise zeichnen Dich ausUnsere Versprechen - Deine VorteileObst-, Müsli- und Club Mate- sowie weitere Getränke-Flatrates sorgen für Dein leibliches Wohlbefinden bei der ArbeitWir veranstalten regelmäßige Teamevents, wie beispielsweise sportliche Aktivitäten, gemeinsames Frühstücken, Firmenfeiern uvm.Du findest flache Hierarchien, offene Türen, direkte Kommunikation und eine besondere Arbeitsatmosphäre vorDich erwarten abwechslungsreiche Aufgabengebiete und die Mitarbeit in anspruchsvollen und spannenden IT-ProjektenRegelmäßige Feedback-Gespräche sind fester Bestandteil unserer UnternehmenskulturZudem steht Dir ein Mentor von Tag eins an begleitend und unterstützend zur SeiteDu arbeitest in einem komfortablen Büro an einem modern ausgestatteten Arbeitsplatz mit guter VerkehrsanbindungWir bilden uns regelmäßig fort, beispielsweise durch den Explicatis Experts Exchange, unsere Vortragsreihe „Wissensdurst“ und stellen Dir vielfältige Weiterbildungsmaßnahmen zur VerfügungWir bieten Dir ein attraktives Vergütungsmodell, flexible Arbeitszeitmodelle und überdurchschnittliche Sozialleistungen (bspw. Maximalzuschuss zur betrieblichen Altersvorsorge, Job-Ticket, Fitnessclub-Mitgliedschaft, 30 Tage Urlaub)Unsere Zukunft - Deine Zukunft?Setze Dein theoretisches Wissen in die Praxis um und stelle Deine Fähigkeiten und Qualifikationen bei uns unter Beweis. Du bist auf der Suche nach dem idealen Unternehmen, um Dich frei zu entfalten und weiterzuentwickeln? Du willst branchenübergreifend für bekannte Top-Kunden arbeiten? Du möchtest vielfältige und spannende Projekte aktiv mitgestalten und Verantwortung übernehmen?Dann bist Du bei uns genau richtig! Gerne kannst Du Dich auch direkt im Anschluss an Dein erfolgreich absolviertes Studium bewerben. Wir freuen uns auf Dich!Sende uns Deine aussagekräftige Bewerbung an karriere(at)explicatis.com. Deine Ansprechpartnerin ist Isabella Schöllgen.Art der Stelle: Vollzeit",,,indeed,,2019-09-24 12:25:20
Java/JEE-Entwickler (m/w/d) in Berlin,IVU Traffic Technologies AG,Berlin,Germany,,"Wir suchen Java/JEE-Entwickler (m/w/d) die im Team sowohl individuelle Kundenlösungen realisieren als auch unsere Produkte zur Standortplanung (IVU.locate) oder zur Wahlorganisation (IVU.elect) weiterentwickeln die komplexe Anforderungen mit Hilfe modularer Architektur in robuste und hochwertige Software umsetzen die mitdenken, mit ihren Lösungen überzeugen und Verantwortung übernehmen Als Java-Entwickler (m/w/d) arbeiten Sie mit Java 8, JEE, JSF, Hibernate, Maven, JavaScript, CSS3 und SQL– was Sie noch nicht kennen, lernen Sie bei uns gestalten Sie unsere Produkte von der Anforderung über die Implementierung bis hin zur Auslieferung mit konzipieren und entwickeln Sie neue Features in kurzen Zyklen als Teil eines agil arbeitenden Teams hinterfragen Sie eingesetzte Technologien, Methoden und Entwicklungsprozesse und tragen so zur Verbesserung der Software und der Arbeitsweise des Teams bei Wir freuen uns auf Kollegen (m/w/d) die mit informatischen Tiefgang und einem klaren Ziel vor Augen zuerst das Problem verstehen, bevor sie mit der Implementierung beginnen die den Gestaltungsspielraum eines international tätigen Mittelständlers und die Zusammenarbeit in einem offenen und lebendigen Team schätzen Interessiert?",,https://www.indeed.com/rc/clk?jk=1f6d368104c3ab5a&from=vj&pos=top&spon=1&adid=303697978&sjdu=6g38TWau287mb0L9pTQqu4wXCvymQ3ajw6z8PLmUgssw-sT7mpze0CLTZsDh9JnbodaipwmeaxYDuqYAgWkcODLWQw9RacKEMB9IHbSvqPWe8whTpJIv6xa6OZ-0frYV,indeed,,2019-09-24 12:25:23
Softwareentwickler für JavaScript/Android/iOS m/w/d),POTTHOFF + PARTNER GmbH,Osnabrück,Germany,"['Full-time,', 'Permanent']","Wir realisieren mit Professionalität und Leidenschaft moderne, attraktive Software auf Basis erstklassiger Architekturen und aktueller Methoden. Dadurch erreichen wir nachhaltigen Erfolg und einen entscheidenden Vorsprung für unsere Kunden.Du und Deine AufgabenDu analysierst, konzipierst und entwickelst mit modernen Technologien professionelle Lösungen für unsere Kunden. Das erfolgt direkt bei uns im Hause, also keine Reisetätigkeiten.Was du kannstSehr gute Kenntnisse in Java und Spring (-Boot)Gute Kenntnisse in Javascript / TypescriptMit Javascript-Frontendframeworks (Angular, React, etc.) bist du vertrautErfahrung mit HTML und CSSDu und wir, das passt?Wir lieben offene TechnologienWir realisieren attraktive, komplexe ProjekteWir investieren frühzeitig in innovative TechnologienWir investieren in die individuelle Entwicklung unserer MitarbeiterWir entscheiden mit dem Mitarbeiter über das „richtige“ ProjektWir führen mit modernen Methoden, agil nach Scrum und Mgmt 3.0Wir zahlen ein attraktives Gehalt und beteiligen alle am ErfolgWir haben Zeit für Familie und Freunde, da unsere Projekte zeitlich gut geplant werdenWir mögen auch Haustiere bei der ArbeitWir freuen uns auf neue Kollegen, die wie wir tickenArt der Stelle: Vollzeit, Festanstellung",,,indeed,vor 19 Stunden,2019-09-24 12:25:26
Java Entwickler,Das Büro am Draht GmbH,Berlin-Kreuzberg,Germany,,"Wir sind das Bü*ro am Draht. Mit 100 Kolleginnen und Kollegen entwickeln wir seit 1995 moderne und individuelle Web-Applikationen f*ür Kunden wie die Audi AG und weitere Konzernmarken der Volkswagen AG. Von der Konzeption über die Umsetzung und den Betrieb bis zum internationalen Rollout beraten und begleiten wir unsere Kunden über viele Projekte und Jahre hinweg. Dabei entwickeln wir nicht nur mit Leidenschaft, sondern auch mit der neuesten Technologie.Java Backend Entwickler (m/w/d)AUFGABENGEBIETEKonzeption und Analyse von Software- und Systemarchitekturen im Kontext der Datenkonsolidierung und -analyseEntwurf und Implementierung von WebServices in einem agilen ArbeitsumfeldAnforderungsanalyse und Konzeption von technischen LösungenTestautomatisierung mit JUnit und Spring Test-FrameworkANFORDERUNGENAbgeschlossenes IT Studium/Ausbildung oder vergleichbare ErfahrungenPraxiserfahrung bei der Implementierung von Softwarelösungen in Java (ab Version 8)Gute Kenntnisse im Umgang mit Springboot (ab Version 1.5) / Spring (ab Version 4.x), REST, JUnitErfahrung mit Maven und GitCI VerständnisLeidenschaft für Clean CodeAusgeprägtes abstraktes DenkvermögenEIN PLUS SINDKenntnisse in Docker (Kubernetes)Erfahrung mit Elasticsearch StackFreude an Analyse und StatistikUNSER ANGEBOT eigenverantwortliches Arbeitenein freundliches und entspanntes Arbeitsumfeld in einemetablierten Unternehmen mit hohem Anspruch an KollegialitätFort- und Weiterbildung in Form von Konferenzen,internen Tech-Talks und andere interdisziplinäre Austauschformate(Workshops, Offsites)ein attraktives Gehalt und flexible Arbeitszeitenviele weitere Benefits, wie kostenlose Getränke, gemeinsames Frühstückam Montag, frisch gekochtes Essen dreimal in der Woche,betriebliche Altersvorsorge und regelmäßige FirmeneventsArt der Stelle: VollzeitBerufserfahrung:Informatik: 3 Jahre (Bevorzugt)Java: 3 Jahre (Bevorzugt)Software Entwicklung: 3 Jahre (Bevorzugt)",,,indeed,,2019-09-24 12:25:29
Softwareentwickler (m/w/d) Java,Gauselmann Group,Lübbecke,Germany,,"Softwareentwickler (m/w/d) Java an unserem Standort in Lübbecke Ihre Aufgaben: Als Softwareentwickler (m/w/d) Java sind Sie in unserem Team der Experte für die Entwicklung von Web- und Desktop-Anwendungen. Zudem gehören das Designen und die Planung neuer Produktanforderungen sowie die Erstellung grafischer Benutzeroberflächen und Mockups zu Ihren Tätigkeiten. Abgerundet wird Ihr vielfältiges Aufgabengebiet mit der Weiterentwicklung und Pflege bestehender Server- und Webanwendungen. Ihre Qualifikationen: Erfolgreich abgeschlossenes Studium im Bereich der Informatik oder eine vergleichbare Ausbildung Sehr gute Java Kenntnisse sowie Erfahrungen in den Bereichen Netzwerke, Datenbanken und Webtechnologien Gute Kenntnisse im Bereich relationaler Datenbanken (PostgreSQL) Kenntnisse in ZKOSS Framework, Spring Framework, JPA, Webserver TomCat und Application Server GlassFish, EJB, Maven, Unit Tests, REST WebService Kenntnisse HTML, CSS, JavaScript Flexibilität, Engagement, Zuverlässigkeit und Teamfähigkeit Das erwartet Sie bei uns: Familiengeführte Unternehmensgruppe mit einem lebhaften und internationalen Unternehmensumfeld Offene und freundliche Unternehmenskultur und Kommunikation auf Augenhöhe Vielfältige Karrieremöglichkeiten innerhalb der kompletten Unternehmensgruppe Das Unternehmen Wir sind die Ideenschmiede unserer Gruppe! Das Ergebnis - innovative Unterhaltungsspielgeräte - entwickeln, produzieren und vertreiben wir. Wir sind das Team, in das Sie sich einbringen können und sollen. Wir wachsen stetig und bewegen uns in einem lebhaften Umfeld. Wir denken und kommunizieren offen. Wir sind alles, außer gewöhnlich – und das seit über 60 Jahren!  Vielen Millionen Menschen bietet unsere Unternehmensgruppe beste Unterhaltung. Weltweit. Innovation, Internationalität und Spitzentechnologie – dafür stehen die aktuell über 13 000 engagierten Menschen unter der Merkur Sonne. Gestalten Sie jeden Tag mit und werden auch Sie ein „Spielemacher“! Sie haben Fragen? Wir sind für Sie da!  Telefon: +49 5772 49345 WhatsApp: +49 151 16219977  adp Gauselmann GmbH Ilka-Diana Kaufmann Interesse? Dann freuen wir uns auf Ihre Bewerbung! Bitte geben Sie auch Ihren möglichen Eintrittstermin und Ihre Gehaltsvorstellung an. Bewerben Sie wünschen weitere Infos? www.adp-gauselmann.de Xing",,https://www.indeed.com/rc/clk?jk=0228ec68f35d4f04&from=vj&pos=top&spon=1&adid=309723676&sjdu=Zsl4IHK8Jt3HI_0dQuFDmZVBIvptbt2jMOIfPn_VhBCPoa-yZ2lBr-NIgFvq1-Ma0UgMorJ4cpTHf_Ceuc16UgOV3MNoNbAzVvwEwnbe_jRpN_9Ss3RcnrNyJt-EzMvzruXC_8EMNIlInF3v6k0flBZIhpEN39M_r4VJke4A5CIIx5YTF9AMSGcm9gRv9I8e-hlgt1BEyrOP3vWZokakEQ,indeed,,2019-09-24 12:25:33
CMS Developer FirstSpirit (Java) (w/m/d),interactive tools GmbH,Berlin,Germany,,"Zur Verstärkung unseres Teams in Berlin suchen wir zum nächstmöglichen Zeitpunkt erfahrene FirstSpirit CMS Developer (Java) (w/m/d) mit Lust auf Agenturarbeit.  Diese Aufgaben kommen auf dich zu: In einem hochqualifizierten Team wirkst Du an der Entwicklung von Content-Management-Lösungen mit. Als CMS Entwickler (Java) (w/m/d) bist Du für die Weiterentwicklung und Wartung von FirstSpirit-basierten Webseiten und Java-basierten Anwendungen verantwortlich. Deine Hauptaufgabe dabei wird die Entwicklung von individuellen Kundenlösungen und die Betreuung von komplexen Webprojekten sein. Du verantwortest den technischen Entwurf, die Umsetzung und das Testing.  Das bringst du mit:  Einschlägige Erfahrungen mit Java-basierten Enterprise Content Management Systemen, vorzugsweise FirstSpirit Sehr gute Java-Kenntnisse Gute Kenntnisse im Umgang mit relationalen Datenbanken (PostgreSQL, MySql, MSSQL) Gute Kenntnisse von mind. einem MVC-Webframework, vorzugsweise Spring MVC Erfahrung mit Templatesprachen wie Freemarker oder Velocity Erfahrung im Umgang mit Windows- und Unix-basierenden Server-Betriebssystemen. Erfahrungen im Umgang mit gängigen Versionsverwaltungssystemen wie Git oder SVN  Das kannst du von uns erwarten:  „Selbstbestimmter Donnerstag“: Einmal in der Woche bist du nicht auf deinen Projekten eingeplant sondern kannst eigenständig über deine Zeit entscheiden. Ob Weiterentwicklung, fokussierte Projektarbeit oder gemeinsam mit dem Team an einer übergreifenden Lösung arbeiten – das liegt ganz in deiner Hand. Arbeitszeiten orientiert an deinen Bedürfnissen – soweit es mit deinem Team und den Kundenrealitäten vereinbar ist. Teilzeit & Homeoffice sind möglich, Überstunden so gut wie nicht nötig. Horizonterweiterung und kontinuierliches Lernen durch verschiedene Austauschformate, Inspirations-Sessions oder gemeinsame Konferenzbesuche und engem Austausch im Entwicklerteam Technische Ausstattung nach deiner Wahl. Agilität und Selbstorganisation in den Projektteams und der gesamten Agentur. Miteinander Füreinander: Wir stehen füreinander ein, helfen uns gegenseitig und feiern unsere Erfolge gemeinsam. Wach und fit sein: Komm in den Genuss unserer Siebträgermaschinen, werde Tischtennis-König oder entspanne bei der wöchentlichen Yogapraxis. Ein Büro mitten in der Stadt – perfekt angebunden und mit zahlreichen Restaurants und Bars in direkter Nähe.  interactive tools ist eine inhabergeführte Digitalagentur mit Sitz in Berlin und München. Mit 20 Jahren Erfahrung in der Entwicklung digitaler Nutzererlebnisse. Aber immer auf der Suche nach neuen Wegen, die zu besseren Ergebnissen für unsere Kunden und noch mehr Freude am Arbeiten für unsere Mitarbeiter führen.  Unsere 60 Expertinnen und Experten aus Beratung, Konzeption, Design, Content und Technik sorgen in interdisziplinären und agil arbeitenden Teams für nachhaltig erfolgreiche digitale Lösungen wie Unternehmensauftritte, E-Commerce-Plattformen und Portale. Für und gemeinsam mit unseren Kunden aus Kultur, Industrie und Medien. Dabei steht der Nutzer unserer Lösungen konsequent im Mittelpunkt unserer Arbeit.  \*Geschlecht egal, hauptsache du passt zu uns.  Du möchtest dich bei interactive tools bewerben?  Dann füll bitte das Formular aus und schick uns deine aussagekräftigen Bewerbungsunterlagen gleich mit! Vielen Dank!",,https://www.indeed.com/rc/clk?jk=9d4417be32446afa&from=vj&pos=top,indeed,vor 15 Tagen,2019-09-24 12:25:36
Java Developer (d/m/f),Bayes Esports Solutions GmbH,Berlin,Germany,"['Full-time,', 'Permanent']","For our startup we are looking for a Java Developer who knows what’s going on and who is a good addition to our highly skilled development team. We have space for people who like to focus on one area to become the goto person in this area as well as people who need a new challenge every now and then. People who have new ideas are more than welcome.Responsibilities: - Work on the development of our disruptive platform for esports data distribution- Help us to improve and expand our OCR plattform- Work together with our DevOps team to make our system more reliable.- Work together with our Data Scientists to improve our data pipelines- Create APIs to deliver our data to customers- Have an eye for improvements in regards to performance and code qualityRequirements: - Strong understanding and moderate (3+ years) experience working with Java, and within a Java environment.- Moderate experience with both relational and non-relational databases- Moderate experience writing and working with a service-based architecture.- A fast learner who is highly motivated and independent, but also works well as part of a team.- Output-oriented way of working- Good problem solving skills (able to break down problems and troubleshooting bugs effectively)- Fluent in English (both written and spoken)Pluses: - Experience with Python, Go-lang or Scala- Experience with Hibernate, SpringBoot, Akka, Gradle- Experience working with distributed messaging queues (RabbitMQ, Kafka, Pulsar) at enterprise scale- Experience with cloud-based deployment: AWS (or similar), Docker, Kubernetes.- Experience with game engines: Source Engine, Unreal Engine, Unity.- Experience with OCR technologies- Any skills or experience in reverse engineering computer games.- Passion for esports, gaming, and technologyWe offer you: * A get shit done culture* Flexible working hours based on goal reaching rather than amount of time spent in the office* 10% of your work time to spend on esports and/or gambling topics of your choice (alone or as a team)* Internal training sessions in your field of profession and beyond* Gaming room stocked with 6 PCs to play and crush enemies with your colleagues* Bayes bar with free snacks and after work beers* Free massage sessions* Subsidized lunches that get delivered to the office* Free coffee, water & soft drinks to stay focused and hydrated* Lots of game enthusiasts to talk and share game experiences withWe look forward to receiving your application (cover letter, CV and references) as well as your salary requirements and earliest possible starting date.Job Types: Full-time, PermanentSalary: 55,000.00€ to 65,000.00€ /yearExperience:Software Engineering: 3 years (Required)Java: 3 years (Required)Language:English (Required)",,,indeed,vor 12 Tagen,2019-09-24 12:25:38
Senior Java & Spring Boot Engineer (f/m/d),NewStore,Berlin,Germany,,"NewStore operates a platform for retailers to run their stores on iPhone. It provides Omnichannel-as-a-Service with the only integrated cloud OMS and mobile POS. Intuitive store associate apps allow retailers to offer seamless shopping experiences through endless aisle, mobile checkout, store fulfillment, real-time inventory and clienteling. With an API-first architecture and an expansive ecosystem of partners, retailers can deploy fast and flexible omnichannel with ease. Brands that run on the NewStore platform include Decathlon, Outdoor Voices, UNTUCKit and more. NewStore was founded by Stephan Schambach, who pioneered ecommerce at Demandware (now Salesforce Commerce Cloud). The company has offices in Berlin, Boston and New York. Learn more at www.newstore.com.  About the Job  You will provide leadership across Back-End Engineering and help guide the overall engineering vision for our MicroServices Architecture. You will lead and participate in architecture discussions with our architects and platform team to help define the core platform APIs to support our Mobile- and WebApps. You will also participate in design reviews and recommend improvements. You will be part of a team that is committed to writing test-backed, clean and reusable code. As an expert Backend Engineer, you will recommend improvements and create consensus through self-confidence, clear communication and the technical skills to back your decisions. You think that polyglot developers are the future and have a passion for elegant, readable and maintainable code.  We have a cutting-edge microservice architecture and use the following technologies: Python, Golang, Java Spring Boot, Linux, Docker, RabbitMQ, nginx, Amazon AWS, REST-ful APIs, JavaScript & Angular.js, ReactJS, HTML5, CSS3, git, SQL (PostgreSQL), Scrum/Kanban.  Required Skills:  7+ years of professional development experience ideally using Java (Frameworks: Spring Boot) or similar languages Experience building large-scale business critical SaaS applications with MicroServices Architecture Established technical leadership, interpersonal and organizational skills Understanding of Service-Oriented approach, Domain-Driven Design, S.O.L.I.D. principles Experience collaborating with other Engineers in planning, prioritizing and executing assigned tasks within deadlines Assist in risk assessment and mitigation activities Experience providing trainings and mentoring other Engineers Strong problem solving, critical thinking, and analytical skills Strong English communication skills Experience with Git  Extra special things we'd love to see:  Experience in building ecommerce systems highly desired Familiarity with software design patterns Experience solving business problems in a variety of programming languages Experience in Agile methodologies, especially Scrum Experience in Maven would be a plus  ",,https://www.indeed.com/rc/clk?jk=729676653361b24a&from=vj&pos=top,indeed,vor 6 Stunden,2019-09-24 12:25:41
Pfiffige Leute für besten Werkstudentenjob in Berlin gesucht | ab 15€/Stunde,Eshop Guide OHG,Berlin,Germany,['Internship'],"Bock auf digital? Dann unterstütze uns dabei, den geilsten Startups und Onlinehändlern zu helfen, digital zu verkaufen!  Ich bin Oliver und habe zusammen mit Patrick und Dave in 2016 Eshop Guide gegründet. Seitdem haben wir mit unserem Team mehr als 350 Unternehmen auf dem Weg begleitet, ihre Business Träume zu verwirklichen. Und jetzt brauchen wir deinen Einsatz!  Was wir suchen: Bei Eshop Guide kannst du erst in alle Aufgaben reinschauen und dich dann auf das fokussieren, was dir Spaß macht und worin du gut bist. Lass uns gemeinsam herausfinden, welche Themen am besten zu dir passen. Bei diesen Aufgabengebieten suchen wir deine Unterstützung:  E-Commerce Management: Werde ein E-Commerce Experte, indem du lernst, wie man einen Onlineshop einrichtet und datenbasiert optimiert.  Digitalisierungs Beratung: Mach unsere Kunden glücklich, indem du ihnen mit 1A Projektmanagement durch das Dickicht des E-Commerce führst.  Webentwicklung: Baue super effiziente Backend- und atemberaubende Frontend Lösungen mit HTML, CSS, Javascript und Ruby on Rails.  Online Marketing: Mache Eshop Guide und unsere Kunden durch digitale Kampagnen und Social Media Management bekannter.  Sales Support: Lerne in den Kopf unserer Kunden zu schauen und hilf uns besser zu verkaufen (keine Sorge, keine Kaltakquise).  Community Management: Begleite uns auf Messen und unseren Shopify Meetups, wo du vom Startup bis zum Konzern alle möglichen Unternehmen kennenlernst.  Wer wir sind und was wir bieten: Eshop Guide ist jung und lean. Hier gibt es kein Sie und die Mate steht immer kalt. Deine Entwicklung ist uns wichtig, daher kannst du dich auf interessante und herausfordernde Aufgaben verlassen.  Unser Büro liegt im Herzen von Kreuzberg, 1 Minuten vom Landwehrkanal entfernt. Deine Arbeitszeit kann flexibel sein und Home Office ist uns kein Fremdwort.  Wir zahlen gutes Geld (mindestens €15/Stunde) und gehen flexibel auf deine anderen Verpflichtungen ein (zum Beispiel Gehaltsgrenzen bei Bafög, Klausurphasen, eigene Projekte, etc.).  Eshop Guide ist die führende Shopify Agentur in Deutschland. Wenn du jetzt denkst Hä, Shopify? Was ist das denn?, keine Sorge. Wenn du einen Kopf zwischen deinen Schultern trägst, kannst du uns trotzdem vom ersten Moment unterstützen.  Shopify ist eines der größten Software as a Service Unternehmen der Welt. Vom Startup über Die Höhle der Löwen Gewinner bis zum Großkonzern. Alle setzen Shopify ein, um digital zu verkaufen. Vielleicht kennst du Shopify auch wegen ihres Gründers Tobias Lütke? Er machte sich als 16-jähriger nach Kanada auf, hat Shopify gegründet und ist inzwischen Deutschlands jüngster Milliardär.  Interesse? Dann schreib uns einfach eine Email (oliver@eshop-guide.de). Wir freuen uns darauf dich kennezulernen! Anforderungsprofil: Was du mitbringen solltest  Für welche Fachrichtung du dich bei deinem Studium oder deiner Ausbildung auch immer entschieden hast, uns ist das nicht weiter wichtig. Denn in erster Linie solltest du bereit sein zu lernen und keine Angst vor unbekannten Themen haben.  Ein großer Teil unseres Jobs besteht aus Recherche. Darum solltest du selbstständig arbeiten und dir Antworten auf einfache Fragen selbst erarbeiten können.  Der Teamgedanke ist uns sehr wichtig. So solltest du ein Teamplayer sein und gewisse Eigeninitiative und Engagement mitbringen.  Klingt interessant, aber du weißt nicht ob deine Fähigkeiten ausreichen? Dann melde dich trotzdem bei uns und wir probieren es gemeinsam aus!",['oliver@eshop-guide.de'],https://www.indeed.com/rc/clk?jk=a1bab9d1cf668e26&from=vj&pos=top,indeed,vor 18 Tagen,2019-09-24 12:25:43
Java Entwickler,MYWORK IT GMBH,Berlin,Germany,['Subcontract'],"Wir von der My Work IT GmbH bringen seit 2010 Menschen und Technologie zusammen.Wir unterstützen Sie - vertraut und professionell! Unser Ziel ist es, Ihnen einen Job anbieten zu können, den Sie sich wünschen, der zu Ihnen passt und der Sie glücklich macht.Die My Work IT GmbH sucht am Standort: (……) zum nächstmöglichen Zeitpunkt einen Java Entwickler.Aufgaben, an denen du wächst.Entwicklung von Softwarelösungen auf Basis von JEE.Analyse und Spezifikation von Anforderungen.Konzepterstellung.Anbindung von Datenbanken.Implementierung von Webservices.Qualitätssicherung der Software durch Testing und Code Reviews.Einhaltung von Entwicklungsstandards und Prozessen.Steuerung, Gestaltung, Optimierung der Serviceprozesse.Kompetenzen, die für dich sprechen.Abgeschlossene Ausbildung als Fachinformatiker für Systemintegration oder gleichwertige Ausbildung/Berufserfahrung.Erfahrung in Softwareentwicklungsprojekten.Fundierte Kenntnisse JEE-Frameworks und Technologiestandards.Fundierte Kenntnisse der Entwicklungswerkzeuge: Eclipse, JBoss, Git, Jenkins, Docker, Subversion, etc.Fundierte Kenntnisse in agilen Vorgehensmodellen (Scrum)Ausgezeichnete Kommunikationsfähigkeiten sowie Servicebewusstsein, Flexibilität und Teamwork.Werte, auf die du dich verlassen können.Die My Work IT agiert Europaweit. Auch was neue Karrierewege angeht:Wir unterstützen konsequent die berufliche Förderung von Fach- und Führungskräften.Dazu gehört eine Vielzahl an Angeboten, um den vielfältigen Anforderungen von Beruf und Familie gerecht zu werden.Ein spannendes Aufgabengebiet mit kurzen Entscheidungswegen und der Möglichkeit, Prozesse aktiv mitzugestalten.Besuchen Sie unsere Website für mehr Informationen oder wenden Sie sich telefonisch an unsere Personalabteilung unter 06196 972 771-0My Work IT GmbHNiederlassung DreieichMax-Planck-Straße 1963303 DreieichArt der Stelle: Vollzeit, Freie Mitarbeit",,,indeed,vor 20 Stunden,2019-09-24 12:25:46
