Intern (f/m/d): Machine Learning Research,SAP,Berlin,Germany,Yes,,,"Requisition ID: 173031 Work Area: Software-Research Location: Berlin Expected Travel: 0% Career Status: Student Employment Type: Limited Full Time COMPANY DESCRIPTION SAP started in 1972 as a team of five colleagues with a desire to do something new. Together, they changed enterprise software and reinvented how business was done. Today, as a market leader in enterprise application software, we remain true to our roots. That’s why we engineer solutions to fuel innovation, foster equality and spread opportunity for our employees and customers across borders and cultures. SAP values the entrepreneurial spirit, fostering creativity and building lasting relationships with our employees. We know that a diverse and inclusive workforce keeps us competitive and provides opportunities for all. We believe that together we can transform industries, grow economics, lift up societies and sustain our environment. Because it’s the best-run businesses that make the world run better and improve people’s lives. PURPOSE AND OBJECTIVES SAPs New Ventures & Technology unit is a strategic innovation entity within SAP, combining software engineering excellence with thought leadership and entrepreneurial spirit. Across various focus clusters and by building on strong teams, we pioneer game-changing solutions in close collaboration with startups, customers & partners in industry and research as well as with other SAP units. To ensure a successful go-to-market, we follow an end-to-end responsibility approach. By exploring unconventional ideas and developing inspiring proofs of concept, we push the state of the art in computer science and its applied fields to provide SAP with foresight into future trends. Machine Learning enables computers to learn from large amounts of data without being explicitly programmed. The worlds most relevant enterprise data is part of SAPs system and business network. SAP aspires to make all its enterprise solutions intelligent and help customers to leverage their data. EXPECTATIONS AND TASKS As an intern (f/m/d) for Machine Learning Research you will work with a team of experienced researchers and data scientists taking on challenges posed by the SAP customers and product units and providing smart services across and beyond the SAP portfolio. You will have the chance to work with the richest data sets available in the world addressing real-world problems. Together with the research team you will implement and experiment with state-of-the-art machine learning algorithms to support different industries in the SAP ecosystem. EDUCATION AND QUALIFICATIONS / SKILLS AND COMPETENCIES Required Currently enrolled as Masters student in Computer Science, Mathematics or Statistics (with strong CS background) Solid background in machine learning (preferably deep learning) Computer skills: Python, familiarity with statistical analysis, shell programming Language skills: Fluent English Soft skills: Willingness to learn, strong teamwork and presentation skills Others: Determined to reach a goal in time, ability to work independently and to prioritize, pleasure in dealing with people, innovative and open-minded Preferred Experience with Deep Learning software packages such as Caffe/(Py)Torch/Theano/TensorFlow/MXNet Prior research experience or internships related to machine learning Familiarity with cloud services such as AWS, Azure, etc. Your set of application documents should contain a cover letter, a resume in table form, school leaving certificates, certificate of enrollment, current university transcript of records, copies of any academic degrees already earned, and if available, references from former employers (including internships). Please describe as well your experience and skills in foreign languages and computer programs / programming languages. #Internship #Praktikum #Germany #Deutschland #Student WHAT YOU GET FROM US Success is what you make it. At SAP, we help you make it your own. A career at SAP can open many doors for you. If you’re searching for a company that’s dedicated to your ideas and individual growth, recognizes you for your unique contributions, fills you with a strong sense of purpose, and provides a fun, flexible and inclusive work environment – apply now. SAPS DIVERSITY COMMITMENT To harness the power of innovation, SAP invests in the development of its diverse employees. We aspire to leverage the qualities and appreciate the unique competencies that each person brings to the company. SAP is committed to the principles of Equal Employment Opportunity and to providing reasonable accommodations to applicants with physical and/or mental disabilities. If you are in need of accommodation or special assistance to navigate our website or to complete your application, please send an e-mail with your request to Recruiting Operations Team (Americas: Careers.NorthAmerica@sap.com or Careers.LatinAmerica@sap.com, APJ: Careers.APJ@sap.com, EMEA: Careers@sap.com). Successful candidates might be required to undergo a background verification with an external vendor.",Careers.NorthAmerica@sap.com,https://www.indeed.com/rc/clk?jk=acb7c1179fb10adb&from=vj&pos=top,indeed,vor 13 Monaten,2019-10-25
Game Developer (Intern),VividChain,Berlin,Germany,Yes,,,"Are you a young coding talent with ambitions to develop games?  Do you have first mobile dev experiences and want to proof and improve them?  Then we are looking for you at vividchain in Berlin!   **   The goal of vividchain is to create apps and games that have a positive impact on society. In particular, we want to let our users connect with the real world around them, eg. to get to know other users in real life. In 2019, vividchain will launch “Scoutside”: The first geolocation-based social game that actually enables for real social activities. Imagine if Pokémon Go players and alike would not just walk to the same Points of Interests, but also would like to actively collaborate with other players, eg. to talk to each other and to trade ingame resources. We want mobile games to become possible entry points for social interactions (instead of being spaces that isolate people and lock their gaze at the screen).  Right now, we conduct first user tests and focus on making “Scoutside” a unique experience that - better than incumbents - accompanies the player on his/her daily travel routes.  To support our current team and to speed up our production time we are looking for a Game Development Intern.  Join our mission and help us making “Scoutside” a worldwide success story!   What we offer:  Top mentoring: You will closely work together with experts and acquire new skills on a daily basis.  High responsibility: You will be enabled to become a pivotal part of our core development team.  Paid internships: No matter if your internship is mandatory or not - your output will be valued.  The chance to actually do something good: “Scoutside” is meant to actually connect people. It might become THE mobile game that initially kicks off real multiplayer interactions in GPS-based games!  An aspiring team with an inspiring vision: We are game designers, communication designers, entrepreneurs, psychologists, free artists, and much more. We love diversity and rethink the role which digital games could fulfill in our society.   What we expect:  You are excited about “Scoutside” and are willing to create a great and unique experience that might change the way we play GPS-based games. You are both, self-reliant and communicative. You bring first valuable experience with Game Programming as well as Mobile Development. You already have worked in teams and know common tools and workflows (eg. git). First expertises in these fields are a plus: Backend Handling, BaaS (esp. Firebase) Mobile Development (responsive UI / Frontend; Performance Optimization) Unit/Integration Tests and Test-Driven Development Graphic Programming (esp. Shader) Technical Art (Texture Handling, VFX,..) (Rapid) Game Prototyping (esp. in Unity) Your English is excellent; German skills are a plus.   Attitude before Skill:  We are looking for creative talents, fast learners, spirited pioneers. If you are not familiar with one or two aspects, we still might want to meet you. Just show us your passion, ambition, skills and previous works!  Sounds good?",,https://www.indeed.com/rc/clk?jk=afa5fa7c8b39ee2c&from=vj&pos=top,indeed,vor 30+ Tagen,2019-10-25
Visiting Software Engineer (internship),Boston Consulting Group,Berlin,Germany,Yes,,,"Location: Berlin, Frankfurt, London, Munich, Oslo, Paris, Stockholm, Warsaw, Zurich Geography: Europe & The Middle East Capabilities: Big data & advanced analytics, Innovation & product development, Technology & digital Industries: Automotive & Mobility, Biopharmaceuticals, Consumer products, Education, Energy & environment, Engineered products & infrastructure, Financial institutions, Health care payers & providers, Insurance, Media & entertainment, Medical devices & technology, Metals & mining, Private equity and principal investment, Process industries & building materials, Public sector, Retail, Social sector, Technology industries, Telecommunications, Transportation, travel & tourism About Us Boston Consulting Group (BCG) is a global management consulting firm and the world’s leading advisor on business strategy. We partner with clients from the private, public, and not-for-profit sectors in all regions to identify their highest-value opportunities, address their most critical challenges, and transform their enterprises. Our customized approach combines deep insight into the dynamics of companies and markets with close collaboration at all levels of the client organization. This ensures that our clients achieve sustainable competitive advantage, build more capable organizations, and secure lasting results. Founded in 1963, BCG is a private company with more than 90 offices in 50 countries. For more information, please visit bcg.com Practice Area Profile BCG GAMMA combines innovative skills in computer science, artificial intelligence, statistics, and machine learning with deep industry expertise. The BCG GAMMA team is comprised of world-class data scientists and business consultants who specialize in the use of advanced analytics to get breakthrough business results. Our teams own the full analytics value-chain end to end: framing new business challenges, building fact-bases, designing innovative algorithms, creating scale through designing tools and apps, and training colleagues and clients in new solutions. Here at BCG GAMMA, you’ll have the chance to work with clients in every BCG region and every industry area. We are also a core member of a rapidly growing analytics enterprise at BCG - a constellation of teams focused on driving practical results for BCG clients by applying leading edge analytics approaches, data, and technology. Role Profile POSITION SUMMARY: As a Visiting Software Engineer, you will be fully integrated in our project teams. You will be responsible for advancing software solutions to support BCG Gamma’s analytics platform and clients. You will participate in several activities including designing robust and maintainable software and developing analytics models in order to solve complex problem for decision analysis.   Your Qualifications REQUIREMENTS: Currently enrolled in a Masters Degree in Computer Research Science, Statistics, Operations Research, or related field First relevant experience/internship in a software development environment  Experience with Hashicorp Vault, Terraform & Consul  Exposure to analytics applications or experience building analytics tools  Familiarity with data science methods and scaling data science methods  Proficiency with infrastructure as code principles Familiarity with the storage, manipulation and management of relational, non-relational and streaming data structures Analytic reasoning and complex problem solving involving mathematical programming and big data problems Understanding of parallel computing  TECHNOLOGIES: Languages programming: Python, GO, C++, Java, Scala, JavaScript, TypeScript DevOps: Docker, Kubernetes, CI/CD, Terraform, unix-based command line Full stack development: GraphQL, React  Data: SQL, Spark, Hadoop Data Science and machine learning (Pandas, Scikit learn)  Deep learning (Tensorflow, Keras etc.) Cloud: AWS/Azure/Google WORK ENVIRONMENT: Fast-paced, intellectually intense, service-oriented environment Position is located in Gamma European hubs (Paris, London, Germany, Nordics etc.) Fluency in local language and English are required Expect time spent traveling  Date Posted: 10-Jul-2019 Boston Consulting Group is an Equal Opportunity Employer. All qualified applicants will receive consideration for employment without regard to race, color, age, religion, sex, sexual orientation, gender identity / expression, national origin, disability, protected veteran status, or any other characteristic protected under national, provincial, or local law, where applicable, and those with criminal histories will be considered in a manner consistent with applicable state and local laws.  BCG is an E-Verify Employer.",,https://www.indeed.com/rc/clk?jk=ffe199462a83c212&from=vj&pos=top,indeed,vor 30+ Tagen,2019-10-25
Intern Software Development Engineer - Germany (Berlin),Amazon Web Services Germany Gm,Berlin,Germany,Yes,,,"Currently on a Bachelors/ Masters degree relevant to Computer Engineering/ Computer Science/ Software Engineering etc.Knowledge of Computer Science fundamentals such as object-oriented design, algorithm design, data structures, problem solving, and complexity analysis  SDE INTERN f/m  At Amazon, we are working to be the most customer-centric company on earth. To get there, we need exceptionally talented, bright, and driven people. Amazon is continually evolving and is a place where motivated employees thrive and also where employee ownership and accountability lead to meaningful results.  Amazon is a place where builders can build. Our internships offer exceptional opportunities for you to grow your technical and non-technical skills. From day one, you will be working with experienced engineers and designers who love what they do. We are looking for outstanding candidates to join our team for 3-6 month Software Development Engineering internships. Internships are flexible in length to fit in with your university’s placement scheme.  Our interns join one of our small agile teams at our development center, launching and growing new initiatives for Amazons global business. Your team will be involved in every aspect of the process - from idea generation, business analysis and technical design through to development and deployment across a variety of technologies - giving you a real sense of ownership. Together we build systems that meet high standards of performance and reliability and operate at massive scale.  Job Responsibilities include: As an intern you will go through induction training before joining your team. You will drive your own learning and development with guidance and coaching from your manager, buddy and colleagues around you. You will be part of a team of Amazon software engineers and you will help them create complex tools in several different programming languages that will help improve the quality of Amazons catalog. Youll create professional quality software by applying software engineering best practices, while being exposed to cutting edge technologies.  Development Experience in Java, C, C++, Perl, LinuxKnowledge of software engineering practices & best practices for the full software development life cycle, including coding standards, code reviews, source control management, build processes, testing, and operationsBasic familiarity with web technologies (HTML, CSS, JavaScript, React)Understanding of, and practical experience with, machine learning/statistics/data science Application and Assessment Process Eligible candidates will be invited to attend an online assessment post which successful candidates will be invited to an in-house assessment centre. This selection process is subject to change but you will be notified if any changes are made.  Protecting your privacy and the security of your data is a longstanding top priority for Amazon. Please consult our Privacy Notice to know more about how we collect, use and transfer the personal data of our candidates.  Amazon is an equal opportunity employer. We believe passionately that employing a diverse workforce is central to our success. We make recruiting decisions based on your experience and skills. We value your passion to discover, invent, simplify and build.  EU Student Programs Team",,https://www.indeed.com/rc/clk?jk=b697228dc7165b77&from=vj&pos=top,indeed,vor 27 Tagen,2019-10-25
Software Development Intern/Working Student,GetTechTalent GmbH,Berlin,Germany,Yes,,,"Job DescriptionCurrently we are looking for a highly motivated Software Development Intern (or working student) who shares our passion for digital products and who wants to actively develop the future of our company.You will work with our development team to build our own platform and connect different tools. Our ideal candidate will be enthusiastic, innovative and good at „getting things done“. The internship will be paid and should last 6 months/as working student you will be able to work up to 20h/week next to university.ResponsibilitiesDevelop modular front-end and back-end features with ReactJS and nodeJSBuild ReactJS components that adhere to MaterialUI standardsWrite unit and integration testsDocument your code, components, and workflowsSupport AWS setup / configurationEnsure the technical feasibility of UI/UX designsInteract with our team and clients to gather requirementsSkillsMinimum 2 years of studies in Computer Science, Business IT or a related fieldMinimum 1 year practical programming experience with weither JavaScript, Python, Visual Basic, Ruby, Go, or other modern languagesFull understanding of REST-ful APIsFirst experiences with ReactJS, Redux, SCSSExperience with MaterialUI is a plusExceptional attention to detail and correct codeInitiative to clarify requirements and the ability to recognize opportunities for improvementAbility to work independentlyFluency in EnglishBenefits Dynamic, friendly, and international work environmentHigh responsibility and freedom for your own workTime off to fight food waste, plant trees, support elections, join Fridays for future events, and more.Central office in the heart of BerlinPersonal feedback and coaching sessions to maximize your learningsWork with the latest tools, technologies, and methodologiesMingle with a network of top tech expertsJob Type: InternshipLanguage:English (Preferred)",,,indeed,vor 30+ Tagen,2019-10-25
Software Engineering Internship,Slack,New York,United States of America,Yes,,,"Software Engineering InternshipSlack is looking for interns to work alongside our engineers for the summer of 2020. These full time internships are a unique opportunity for someone currently pursuing a BS, MS, or PhD in Computer Science, Engineering, or equivalent training, fellowship, or bootcamp completion, who wishes to gain hands-on experience in an industry setting. You will have the opportunity to work on a collaborative team and be paired with one of our engineers who will be your mentor throughout the course of the program.You Will DemonstrateA strong work ethic, an eagerness to jump in and help fix thingsCuriosity About How Things Work And Tenacity To LearnSelf-awareness and a desire to improve your skillsStrong communication skills, a positive attitude and empathyYoull Work In One Of The Following AreasBACKENDOur team works to create delightful features, while designing and implementing useful API methods to improve the reliability of our systems. We build our app using reliable tools that our team knows and trusts, including Java, Hack/PHP, MySQL, and Linux. Familiarity with either Java or Hack/PHP is required.FRONTENDYou will use React, Javascript, and CSS to improve the Slack web client, a complex in-browser application relied upon by millions of users every day. You will work with real-time data streams, engineer for performance across browsers, and delight people by making the best software we can imagine. Working closely with Product, Design, Backend, and QA to build, test and deploy new features. Familiarity with React is a plus, knowledge of Javascript is required.MACHINE LEARNINGWe build Slack using reliable tools that our team knows and trusts, including PHP/Hack, Java/Scala, Python, MySQL, and Linux. Experience with Apache Spark, Hadoop (or other Map-Reduce frameworks), and Airflow (or other scheduling tools like Luigi) is a huge plus. Were a collaborative team that genuinely enjoys working together with a cross-functional group of product managers, designers, front-end, iOS, Android, automation, and quality engineers to make Slack a better product.Slack is a layer of the business technology stack that brings together people, data, and applications – a single place where people can effectively work together, find important information, and access hundreds of thousands of critical applications and services to do their best work. From global Fortune 100 companies to corner markets, businesses and teams of all kinds use Slack to bring the right people together with all the right information. Slack is headquartered in San Francisco, CA and has ten offices around the world. For more information on how Slack makes teams better connected, visit slack.com.Ensuring a diverse and inclusive workplace where we learn from each other is core to Slack’s values. We welcome people of different backgrounds, experiences, abilities and perspectives. We are an equal opportunity employer and a pleasant and supportive place to work.Come do the best work of your life here at Slack.",,https://www.linkedin.com/jobs/view/software-engineering-internship-at-slack-1486788191?refId=4d35357c-34f3-4711-8180-8da89efdb9eb&position=1&pageNum=0&trk=guest_job_search_job-result-card_result-card_full-click,Linkedin,5 hours ago,2019-10-25
2020 Product Owner Summer Internship ,Royal Caribbean Cruises Ltd.,Miami FL,USA,Yes,,,"2020 Product Owner Summer Internship  Who we are looking for: Seeking 1st year MBA students graduating in Summer 2021.  Position Summary:  We are looking for highly motivated, energetic and highly organized individuals who thrive in a fast-paced, team-oriented environment. Based in Miami, FL, this Product Owner Intern will be responsible for understanding and executing the strategic direction of digital products for RCCL Digital. RCCL Digital products utilize a wide variety of global technologies to provide our cruise guests with the best possible experience. Our Digital products consist of mobile, web experiences, that are powered by incredible shore-side, shipboard and technologies like facial recognition, AI, and computer learning. Our mission is to continue to build products and tools that digitize and improve every guest and crew experience.  Responsibilities:As a member of RCCL Digital, you will be a part of a cross functional team that is responsible for every conceivable aspect of your technology product.This individual contributor will be required to collaborate with various business, technology and operations team members and leaders to help collected, analyze and synthesize and execute on the requirements of your digital product.This individual contributor will be expected to gather data from multiple sources (e.g., digital analytics, Guest / consumer research, etc.) to better inform end-user focused product strategy and direction.As a member of a cross-functional, agile team, you will be asked to contribute to frequent decision-making and experience-mapping sessions, designed to help your team achieve a complete understanding of the product roadmap. This critical aspect of your role will drastically improve your teams ability to deliver value to our guests.As a member of an agile team you will be asked to support your team using a servant leadership style and leading by example.As a member of RCCL Digital you will be expected to assist with internal and external communication, improving transparency, and cascading informationKnowledge And Skills:Experience with technical, user and business issues in a fast-moving digital organization.Knowledge of designing digital experience for iOS and Android apps highly desiredSome exposure to Agile software development methodologiesExceptional verbal and written communication and project leadership skills, including an ability to communicate effectively across cross-functional teams.Ability to employ design thinking methods to solve problems and apply the right solution for a given problemDemonstrated ability to identify, understand, and drive resolution of complex critical issuesProven ability to collaborate with and achieve actionable results through others, plus the ability to build strong and sustainable relationships, and the capability to interact within all levels of the organizationAbility to think strategically and drive ideas into action, with a positive outlook and willingness to take personal initiativeKnowledge of JIRA/Confluence or similar Agile collaboration toolsExecute best practices for meeting management including facilitation, sending out agenda, tracking action items, etc.Must be well organized, methodical and pay close attention to detailProven ability to prioritize and manage multiple projects simultaneouslyPossess strong analytical skillsAble to work well in a highly collaborative cross discipline teamFlexible and adaptable in an evolving start-up like environmentAbility to work with little or no supervisionWhat we are looking for when recruiting Interns?Currently enrolled in a 4-year Bachelor or Graduate Product Management related degree program, 1st Year MBA students preferred.Must have authorization to work in the U.S. on a permanent and ongoing basisMust be able to be employed from May 26th to August 7th on a full-time basisSelf-driven and motivatedExceptional communication skills (both oral and written)Emulates pride, passion and commitment for their job and conveys excitement and enthusiasm for RCL.Excited to collaborate and eager to learn from othersProven leadership ability, either in a student organization, project, and/or outside the classroomDemonstrates a passion for service and commitment to continuous improvementIt is the policy of the Company to ensure equal employment and promotion opportunity to qualified candidates without discrimination or harassment on the basis of race, color, religion, sex, age, national origin, disability, sexual orientation, sexuality, gender identity or expression, marital status, or any other characteristic protected by law. RCL and each of its subsidiaries prohibit and will not tolerate discrimination or harassment.  Join us at Royal Caribbean Cruises Ltd., where great vacations begin with great employees!  RCL is an Equal Employment Opportunity employer.",,https://www.linkedin.com/jobs/view/2020-product-owner-summer-internship-at-royal-caribbean-cruises-ltd-1573609332?refId=4d35357c-34f3-4711-8180-8da89efdb9eb&position=2&pageNum=0&trk=guest_job_search_job-result-card_result-card_full-click,Linkedin,13 minutes ago,2019-10-25
Intern - Prisma Access Software Automation Test Engineer,The Job Network,Santa Clara,USA,Yes,,,"DescriptionOur MissionAt Palo Alto Networks everything starts and ends with our mission:Being the cybersecurity partner of choice, protecting our digital way of life.We have the vision of a world where each day is safer and more secure than the one before. These arent easy goals to accomplish - but were not here for easy. Were here for better. We are a company built on the foundation of challenging and disrupting the way things are done, and were looking for innovators who are as committed to shaping the future of cybersecurity as we are.Your CareerWe are looking for a motivated, intelligent, hardworking and creative intern to join the Prisma Access team as a Software Engineer. In this role, you will be part of a team that develops features for the Prisma Access cloud service for our customers. You will work on public cloud technologies (AWS, GCP, etc.); enhancing existing features or build new features/tools.Prisma Access extends the protection of our next-generation security platform. Prisma Access operationalizes the deployment by leveraging a cloud-based security infrastructure operated by Palo Alto Networks. It uses cutting-edge public and private cloud technologies extending the next generation security protection to all cloud services, customers on-premise remote networks and mobile users.Our Summer Internship Program from May-August or June-September provides you:1:1 mentorshipFun and engaging events that inspire your intellectual curiosityThe opportunity to expand your knowledge and work on challenging projectsConnections to other recent grads, and employees across the company as well as our leadersYour ImpactDesign, develop and implement highly scalable software features on our next-generation security platform as part of our Prisma Access teamWork with different development and quality assurance groups to achieve the best qualitySuggest and implement improvements to the development processWork with DevOps and the Technical Support teams to troubleshoot customer issuesWork with other software development teams to apply PanOS features on Prisma AccessWork with 3rd party and partners to create innovative ideas to change the networking industryInterview, mentor and coach new team membersYour ExperienceDeveloping-level software development experienceProficient in PythonProgramming knowledge in Windows, Linux, Mac, iOS, Android, or IoT system is a plusDeveloping level experience with network and cloud programming is a plusStrong collaboration and communication skillsAbility to work in a fast paced environmentThe TeamThe Prisma Access management team is responsible for building all aspects of the Prisma Access management platform that include, orchestration, UI, L7 features, Database and messaging infrastructure, etc.Requirements - To apply, you must be pursuing a 4-year Undergraduate Degree, a 2-year Masters Degree or a Doctorate degree and returning to school in the fall. You must have the authorization to work within the United States.Our CommitmentWere trailblazers that dream big, take risks, and challenge cybersecuritys status quo. Its simple: we cant accomplish our mission without diverse teams innovating, together.We are committed to providing reasonable accommodations for all qualified individuals with a disability. If you require assistance or accommodation due to a disability or special need, please contact us at ***********************************.Palo Alto Networks is an equal opportunity employer. We celebrate diversity in our workplace, and all qualified applicants will receive consideration for employment without regard to age, ancestry, color, family or medical care leave, gender identity or expression, genetic information, marital status, medical condition, national origin, physical or mental disability, political affiliation, protected veteran status, race, religion, sex (including pregnancy), sexual orientation, or other legally protected characteristics.PandoLogic. Keywords: Automation Test Engineer, Location: Santa Clara, CA - 95055",,https://www.linkedin.com/jobs/view/intern-prisma-access-software-automation-test-engineer-at-the-job-network-1572840953?refId=4d35357c-34f3-4711-8180-8da89efdb9eb&position=3&pageNum=0&trk=guest_job_search_job-result-card_result-card_full-click,Linkedin,9 hours ago,2019-10-25
STUDENT ANALYST - STUDENT ASSISTANT-R&D - STUDENT ENGINEER - ENGINEERING APPLICATIONS,Southwest Research Institute,San Antonio,United States of America,Yes,,,"Job SummaryJoin us as an Intern! The Engineering Applications & Systems Development section of the Applied Physics Division at Southwest Research Institute conceives, develops, designs, and delivers specialized custom hardware and software solutions meeting our customers needs. You will provide assistance by being involved in developing and designing applicable solutions for software programming development and implementation. Apply your interest in networking protocols and android applications development to solve complex problems. This is a year-round part-time, co-op, or summer student position.Education/ExperienceMust be enrolled in an accredited university pursuing a BS degree in Computer Engineering, Computer Science, or Electrical Engineering. Must have at least a 3.0 GPA. An interest in software design and programming is required. Coursework or projects with software programming and/or embedded microprocessor design is a plus. Experience with software programming languages is desired. A valid/clear drivers license is required.Special ConsiderationsApplicant selected will be subject to a government security investigation and must meet eligibility requirements for access to classified information. Applicant must be a U.S. citizen.",,https://www.linkedin.com/jobs/view/student-analyst-student-assistant-r-d-student-engineer-engineering-applications-at-southwest-research-institute-1572343664?refId=4d35357c-34f3-4711-8180-8da89efdb9eb&position=4&pageNum=0&trk=guest_job_search_job-result-card_result-card_full-click,Linkedin,13 hours ago,2019-10-25
Developer Intern- Apply now!,KL Software Technologies Inc,New York,United States of America,Yes,,,"KL Software Technologies (KLST) is looking for a Developer Intern in New York, NY for a 16-week internship (www.klstinc.com/klst-internship-program). Potential candidates should be local (or ready to move) to the tri-state area and willing to commute daily into New York City midtown for work. All shortlisted candidates will need to go through one phone interview with one of our Technical Lead and one in-person interview with our Director to create a mobile-first web application using SEAN/MEAN stack. Selected Candidates are required to start immediately or within the next two weeks. Candidates should be legally authorized to work in the USA without the need for employer sponsorship. Candidates with the following required skills and experience are encouraged to apply: Required Skills: Strong hands-on knowledge of SEAN or MEAN stack Strong hands-on learning of HTML5/CSS3 Strong Knowledge of any one of the scripting languages React or Angular 4+ Strong presentation and communication skills (both written and verbal required) Preferred Skills: Adobe Photoshop / Illustrator .NET skills Microsoft SQL Server Knowledge of SharePoint Server 2013/2016, SharePoint Online. Microsoft Certifications NOTE - STRICTLY NO THIRD PARTIES PLEASE! About KLST: KL Software Technologies was founded in 2003 with the vision of building mobile-first digital innovations that provide secure, intuitive, and consistent user experience across smarter interfaces. As a Global Systems Integrator, we focus on delivering services and building mobile-first products on Microsoft on-premises, cloud and hybrid platforms namely Office 365 SharePoint Online, SharePoint 2013 / 2016 / 2019, Teams, Azure, Microsoft Dynamics CRM Online and Salesforce. Our hybrid mobility services group provides enterprise mobile app development using Angular / Ionic and Microsoft Xamarin Framework targeting Windows, iOS, and Android mobile platforms. You can learn more about KLST products and services via our website www.klstinc.com/whyklst Our motto is to deliver innovative mobile-first Technology solutions for your business problems using our Industry specialization, Solution Accelerators, and agile project development methodology focused on the highest levels of customer satisfaction. We strive for excellence and focus on being the TRUSTED IT ADVISOR for our clients. This elite status with our clients has helped us grow into diversified industries, such as Financial Services, Risk & Insurance, Legal & Professional Services, Healthcare, Telecommunications, Education & Public Sector Our People are our single most significant asset, and the global group is founded on the PEOPLE READY vision. Our Microsoft certified technical team members sit as part of various advisory councils as well as participate in Microsoft Early Technology Adoption Programs. KLST group also engages Microsoft Valuable Professionals to perform high end consulting, solution architecture, and best practices work around SharePoint, Teams, Azure, Microsoft CRM Online, and Salesforce technologies. KLST offers a fun-filled workplace that helps our employees innovate and while enjoying highly competitive benefits such as: Medical Insurance Dedicated weekly hours for self-education/career advancement Flexible Work location 25 Days Paid Vacation, Paid Sick and Personal Leave and Holidays Selected candidates will be asked to complete a background check, including driving record, education, employment, and criminal records before commencing work. For more information about our employee benefits, please visit the careers section of our website www.klstinc.com/careers or write to us at careers@klstinc.com. KLST is an equal opportunity employer and considers qualified applicants for employment regardless of race, gender, gender identity, gender expression, age, color, religion, disability, veterans status, sexual orientation, or any other protected factor. - provided by Dice",careers@klstinc.com.,https://www.linkedin.com/jobs/view/developer-intern-apply-now%21-at-kl-software-technologies-inc-1572506344?refId=4d35357c-34f3-4711-8180-8da89efdb9eb&position=5&pageNum=0&trk=guest_job_search_job-result-card_result-card_full-click,Linkedin,12 hours ago,2019-10-25
